id,t1_h,t1_min,t2,t3_h,t3_min,t4_1,t4_2,t5_a,t5_b,t5_c,t5_d,t5_e,t5_f,t5_g,t5_h,t5_i,t5_j,t6,t7,t8,t9
109.00 ,11.00 ,30.00 ,50.00 ,7.00 ,15.00 ,7.00 ,0.00 ,5.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 ,4.00 ,2.00 ,2.00 ,5.00 ,4.00 ,2.00 ,5.00 ,5.00 
110.00 ,1.00 ,0.00 ,5.00 ,10.00 ,0.00 ,7.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,2.00 ,5.00 ,5.00 
111.00 ,1.00 ,0.00 ,10.00 ,8.00 ,40.00 ,6.00 ,0.00 ,4.00 ,5.00 ,5.00 ,2.00 ,2.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,4.00 ,2.00 ,4.00 ,4.00 
112.00 ,10.00 ,30.00 ,15.00 ,6.00 ,15.00 ,7.00 ,7.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,5.00 
113.00 ,3.00 ,0.00 ,60.00 ,9.00 ,30.00 ,6.00 ,30.00 ,5.00 ,5.00 ,3.00 ,2.00 ,2.00 ,4.00 ,2.00 ,4.00 ,4.00 ,4.00 ,5.00 ,2.00 ,4.00 ,5.00 
114.00 ,12.00 ,0.00 ,60.00 ,9.00 ,30.00 ,8.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
115.00 ,1.00 ,0.00 ,10.00 ,8.00 ,45.00 ,6.00 ,21.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
116.00 ,1.00 ,30.00 ,20.00 ,10.00 ,0.00 ,8.00 ,0.00 ,4.00 ,5.00 ,4.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,4.00 ,3.00 
117.00 ,11.00 ,0.00 ,30.00 ,9.00 ,30.00 ,10.00 ,0.00 ,3.00 ,3.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,2.00 ,5.00 ,4.00 
118.00 ,2.00 ,30.00 ,180.00 ,11.00 ,30.00 ,8.00 ,0.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,3.00 ,5.00 ,3.00 ,2.00 ,4.00 ,2.00 ,5.00 ,5.00 
119.00 ,3.00 ,0.00 ,20.00 ,10.00 ,0.00 ,9.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,2.00 ,5.00 ,4.00 ,4.00 ,2.00 ,3.00 ,2.00 ,5.00 ,3.00 
120.00 ,23.00 ,0.00 ,40.00 ,8.00 ,0.00 ,6.00 ,30.00 ,5.00 ,4.00 ,2.00 ,4.00 ,2.00 ,5.00 ,5.00 ,2.00 ,2.00 ,5.00 ,4.00 ,3.00 ,5.00 ,3.00 
121.00 ,1.00 ,0.00 ,10.00 ,12.00 ,30.00 ,11.00 ,0.00 ,2.00 ,2.00 ,2.00 ,4.00 ,4.00 ,5.00 ,3.00 ,5.00 ,2.00 ,2.00 ,4.00 ,2.00 ,5.00 ,5.00 
122.00 ,3.00 ,0.00 ,10.00 ,8.00 ,30.00 ,6.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,2.00 ,5.00 ,4.00 
123.00 ,1.00 ,0.00 ,2.00 ,11.00 ,30.00 ,5.00 ,0.00 ,5.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,4.00 ,2.00 ,4.00 ,2.00 
